lagsnavn,orgnr,kommune,fylke,adresse,postnummer,poststed,nettstad,kjelde_type,kjelde_url,henta_dato
BYGGDEL I STOCKHOLM AB,912676765,,,"c/o Kalin, Österängsvägen 14",,SE-182 46 ENEBYBERG,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/912676765,2026-04-27
BYGGDEL I STOCKHOLM AB,912676730,,,Österängsvägen 14,,SE-182 46 ENEBYBERG,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/912676730,2026-04-27
BÖNNING & SOMMER PRODUKTION U. VERTRIEB GMBH & CO. KG,998264979,,,Bernhardusstrasse 48,,DE-34414 WARBURG,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/998264979,2026-04-27
BÖNNING & SOMMER PRODUKTION U. VERTRIEB GMBH & CO. KG,998265029,,,Bernhardusstrasse 48,,DE-34414 WARBURG,https://www.boenning-sommer.de,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/998265029,2026-04-27
CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS (U.K.) LIMITED,986003347,,,730 Waterside Drive Aziec West,,Almondsbury BS 32 4 UE,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/986003347,2026-04-27
CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS (U.K.) LIMITED,985997934,,,730 Waterside Drive Aziec West,,Almondsbury BS32 4 UE,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/985997934,2026-04-27
CIMBRIA BULK EQUIPMENT,985240558,,,Drejervej 10,,DK-7451 SUNDS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/985240558,2026-04-27
CIMBRIA BULK EQUIPMENT A/S,985234957,,,Drejervej 10,,7451 SUNDS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/985234957,2026-04-27
CIMC-TIANDA NETHERLANDS COÖPERATIEF U.A,929322061,,,Van der Astpad 9A,,NL-1816KV ALKMAAR,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/929322061,2026-04-27
CIMC-TIANDA NETHRLANDS COÖPERATIEF U.A.,929490231,,,Van der Astpad 9A,,NL-1816KV ALKMAAR,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/929490231,2026-04-27
CLIPPER BULK (NORWAY BRANCH) NUF,924943858,,,Sundkrogsgade 19,,DK-2100 COPENHAGEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/924943858,2026-04-27
CLIPPER BULK A/S,924976462,,,Sundkrogsgade 19,,DK-2100 KØBENHAVN,https://www.clipper-group.com,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/924976462,2026-04-27
CNOOC U.K. MARKETING LTD,931154117,,,"Prospect House, 97 Oxford Road",,UXBRIDGE UB8 1LU,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/931154117,2026-04-27
CNOOC U.K. MARKETING LTD,931186434,,,"Prospect House, 97 Oxford Road",,UXBRIDGE UB8 1LU,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/931186434,2026-04-27
COLGATE-PALMOLIVE (U.K) LIMITED,932047942,,,"Guildford Business Park, Middleton Road, Guildford",,SURREY GU2 8JZ ENGLAND,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/932047942,2026-04-27
COLGATE-PALMOLIVE (U.K) LIMITED,932132788,,,"Guildford Business Park,, Middleton Road, Guildford",,SURREY GU2 8JZ ENGLAND,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/932132788,2026-04-27
CONOCO OIL & GAS ASSOCIATES L P,976726510,,,"The Corporation Trust Company, Corporation Trust Center, 1209 Orange Street Wilmington",,NEW CASTLE COUNTY DELAWARE,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/976726510,2026-04-27
CONOCO OIL & GAS ASSOCIATES L P,979828292,,,"The Corporation Trust Company, Corporation Trust Center, 1209 Orange Street Wilmington",,NEW CASTLE COUNTY DELAWARE,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/979828292,2026-04-27
COOPERATIE TORY BURCH U.A.,933942783,,,"Barbara Strozzilaan 101, 8th Floor, office No 8.09",,NL-1083NH Amsterdam,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933942783,2026-04-27
COOPERATIE TORY BURCH U.A.,933976823,,,"Barbara Strozzilaan 101, 8th Floor, office No 8.09",,NL-1083NH Amsterdam,https://www.toryburch.com,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933976823,2026-04-27
COÖPERATIEVE BHS EUROPE HOLDINGS U.A.,922113831,,,Generatorstraat 16,,1014AT AMSTERDAM,https://www.bulkhandlingsystems.com/bhs-europe/,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/922113831,2026-04-27
D. L. CAPS LIMITED,916053894,,,"c/o Gore Vega Limited, 39 Queens Road",,ABERDEEN AB15 4ZN SCOTLAND,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/916053894,2026-04-27
D. L. CAPS LIMITED,916053991,,,40 Warddykes Avenue,,ARBROATH DD11 4AW SCOTLAND,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/916053991,2026-04-27
DRAKA U.K. LIMITED,995106817,,,"PO Box 6500, Alfreton Road, Derby Derbyshire",,DE21 4ZH,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/995106817,2026-04-27
DRAKA U.K. LIMITED,995106833,,,"PO Box 6500, Alfreton Road, Derby Derbyshire",,DE21 4ZH,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/995106833,2026-04-27
DXC BULGARIA EOOD,929012534,,,"Region Mladost, Business Park Sofia, Building 9",,BG-1715 SOFIA,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/929012534,2026-04-27
DXC BULGARIA EOOD,929126319,,,"Region Mlados, Business Park Sofia Building 9",,BG-1715 SOFIA,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/929126319,2026-04-27
EAGLESTAR SHIPMANAGEMENT (L) PTE. LTD,920486924,,,"Unit Level 13(A), Main Office Tower, Financial Park Labuan, Jalan Merdek",,87000 Federal Territory of Labuan,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/920486924,2026-04-27
EAGLESTAR SHIPMANAGEMENT (L) PTE. LTD,820511352,,,"Unit Level 13(A), Main Office Tower, Financial Park Labuan, Jalan Merdek",,87000 Federal Territory of Labuan,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/820511352,2026-04-27
EFD INDUCTION S L,980009610,,,"Los Palangreros No 5, (Trasera) Entreplanta",,E.48920 Portugalete (Bizkaya),,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/980009610,2026-04-27
ELIZABETH ARDEN INTERNATIONAL  S A R L NUF,982911974,,,"28 Chermin de Joinville, P.O.Box 43",,CH-1216 COINTRIN GENEVE,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/982911974,2026-04-27
ELIZABETH ARDEN INTERNATIONAL S A R L,982912148,,,"28 Chermin de Joinville, P O Box 43",,1216 Cointrin Geneve,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/982912148,2026-04-27
ELKEM IBERIA S L U,937411936,,,"El Pinar 8, Entreplanta Izqda, Apdo. Correos 92",,Las Arenas - Vizcaya,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/937411936,2026-04-27
ELKEM S A R L,937416148,,,122 avenue Charles de Gaulle,,92200 Neuilly sur Seine,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/937416148,2026-04-27
ELKEM S R L,937416172,,,via Giuseppe Frua 16,,20146 Milan,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/937416172,2026-04-27
FELLO GEO CONSULTING S. R. L.,932344351,,,"Peris village, Gornesti commune, no 112/H, Mures county",,RO-547287 PERIS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/932344351,2026-04-27
FM BULK HANDLING,923981047,,,"Fabriksvej 14, V. Lyby",,DK-7800 SKIVE,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/923981047,2026-04-27
FM BULK HANDLING A/S,924187034,,,"Fabriksvej 14, V. Lyby",,DK-7800 SKIVE,https://www.fjordvejs.dk,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/924187034,2026-04-27
FORD SMART MOBILITY U.K. LIMITED,925078107,,,"Business Unit 2, Broadcast Center, Here East, Queen Elisabeth Olympic, Park, Stratford",,LONDON E20 3BS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/925078107,2026-04-27
FORD SMART MOBILITY U.K. LIMITED,925427063,,,"Business Unit 2, Broadcast Centre,, Here East, Queen Elizabeth, Olympic Park, Stratford",,LONDON E20 3BS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/925427063,2026-04-27
FREDE JENSEN L/K BYGG,980733807,,,Kærsangervej 50,,9900 FREDRIKSHAVN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/980733807,2026-04-27
FREDE JENSEN L/K BYGG,980757668,,,Kærsangervej 50,,9900 FRDRIKSHAVN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/980757668,2026-04-27
FÖRSÄKRINGSMÄKLARE L-E GEFVERT AB,991056238,,,Danderydsgatan 14,,114 26 STOCKHOLM,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/991056238,2026-04-27
FÖRSÄKRINGSMÄKLARE L-E GEFVERT AB,991056319,,,Danderydsgatan 14,,114 26 STOCKHOLM,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/991056319,2026-04-27
GARTNER U.K. LTD,914206502,,,"Tamesis, the Glanty, Egham",,TW 20 9AW Surrey,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/914206502,2026-04-27
GARTNER U.K. LTD.,914206472,,,"Tamesis, the Glanty, Egham",,TW20 9AW Surrey,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/914206472,2026-04-27
GEODYNAMICS (U.K.) LIMITED,932596229,,,"Site E6, Gateway Business Park, Moss Road, Nigg",,ABERDEEN AB12 3GQ SCOTLAND,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/932596229,2026-04-27
GEODYNAMICS (U.K.) LIMITED,932776677,,,"Site E6, Gateway Business Park, Moss Road, Nigg",,ABERDEEN AB12 3GQ SCOTLAND,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/932776677,2026-04-27
GESTA GES. F. ELEKTR. STEUERUNGS- U. ANTRIEBST. MBH,935594537,,,Am Winkelsteig 6,,DE-91207 LAUF A.D. PEGNITZ,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/935594537,2026-04-27
GRAND FRANK AB,917400628,,,Sankt Eriksgatan 46C,,SE-112 34 STOCKHOLM,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/917400628,2026-04-27
GRAND FRANK AB,917887160,,,Sankt Eriksgatan 46C,,SE-112 34 STOCKHOLM,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/917887160,2026-04-27
GRAND GAARDEN LIMITED,936207669,,,"Stron Legal, The Clubhouse St James, 8 St James's Square, St James's",,LONDON SW1Y 4JU,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936207669,2026-04-27
GRANDI NAVI VELOCI S.P.A,925054275,,,Calata Marinai D'Italia,,CAP 90146 PALERMO (PA),,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/925054275,2026-04-27
GRANDI NAVI VELOCI S.P.A NUF,924988142,,,Calata Marinai D'Italia,,CAP 90146 PALERMO (PA),,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/924988142,2026-04-27
GRANDIA CLOTHING LIMITED,927803151,,,"Stron Legal, The Clubhouse St James, 8 St James's Square, St James's",,LONDON SW1Y 4JU,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/927803151,2026-04-27
GRENKE BANK AG,915448593,,,Neuer Markt 2,,76532 BADEN-BADEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/915448593,2026-04-27
GRUNDIG AG,981035933,,,Kurgartenstrasse 37,,D-90862 Furth,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/981035933,2026-04-27
H.ESSERS LIQUID BULK NV,930498750,,,Koggenstraat 12,,BE-8380 BRUGGE,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/930498750,2026-04-27
H.ESSERS LIQUID BULK NV,930563919,,,Koggenstraat 12,,BE-8380 BRUGGE,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/930563919,2026-04-27
HELI-ONE CANADA ULC,915860362,,,4740 Agar Drive,,RICHMOND BRITISH COLUMBIA C V7B 1A3,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/915860362,2026-04-27
HELI-ONE CANADA ULC,915860419,,,4740 Agar Drive,,RICHMOND BRITISH COLUMBIA C V7B 1A3,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/915860419,2026-04-27
HELLY-HANSEN (U.K.) LIMITED,916362544,,,"Unit G3A Birbeck House, Colliers Way Phoenix Park, Nottingham",,NOTTINGHAMSHIRE NG8 6AT,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/916362544,2026-04-27
HELLY-HANSEN (U.K.) LIMITED,916362579,,,"Unit G3A Birbeck House, Colliers Way Phoenix Park, Nottingham",,NOTTINGHAMSHIRE NG8 6AT,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/916362579,2026-04-27
IBM BULGARIA EOOD,915953786,,,36 Dragan Tzankov blvd,,BG-1057 SOFIA,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/915953786,2026-04-27
ICL EUROPE COOPERATIEF U.A.,826541032,,,Koningin Wilhelminaplein 30,,NL-1062 KR AMSTERDAM,https://www.icl-group.com,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/826541032,2026-04-27
ICL EUROPE COÖPERATIEF U.A. NUF,925588954,,,Koningin Wilhelminaplein 30,,1062 KR AMSTERDAM,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/925588954,2026-04-27
IKEA U.S. WEST INC.,911605600,,,420 Alan Wood Road,,US-19428 CONSHOHOCKEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/911605600,2026-04-27
INSTITUTIONEN FOR SOCIALT BOLIGBYGGERI'S UNGDOMSKLUBBER,971307110,,,Rådhusplassen 59,,1550 KØBENHAVN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/971307110,2026-04-27
INTERMETRIC GESELLSHAFT FÜR INGENIEURM. U. RAUMBEZ. INFORMATINSSYSTEME MBH,995354659,,,Industriestrasse 24,,70565 STUTTGART,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/995354659,2026-04-27
IONICS (U.K.) LIMITED,924932228,,,"3rd Floor, 1 Ashley Road,, Altrinham",,CHESHIRE WA14 2DT,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/924932228,2026-04-27
IONICS (U.K.) LIMITED,924958979,,,"3rd Floor, 1 Ashley Road,, Altrincham",,CHESHIRE WA14 2DT,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/924958979,2026-04-27
IP TELECOM BULGARIA LTD NUF,936886558,,,"16 Vasil Levski Street, 2nd floor,, office 211",,BG-8000 BURGAS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936886558,2026-04-27
IP TELECOM BULGARIA LTD NUF,936955495,,,"16 Vasil Levski Street, 2nd floor,, office 211",,BG-8000 BURGAS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936955495,2026-04-27
JACOBS U.K. LIMITED,931070150,,,"Cottons Centre, Cottons Lane",,LONDON SE1 2QG,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/931070150,2026-04-27
JACOBS U.K. NORWAY,831032782,,,"Cottons Centre, Cottons Lane",,LONDON SE1 2QG,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/831032782,2026-04-27
JLJ BYGGING JÆRMUND L JUUL,980299368,,,,,FO-690 Oyandarfjørdur,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/980299368,2026-04-27
JLJ-BYGGING Jærmund L. Juul,975998053,,,Bygging Jærmund L Juul,,FO 690 Oyandarfjørdur,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/975998053,2026-04-27
JOHN L JACK DESIGN SERVICES LIMITED,922405859,,,12 Farburn Drive,,STONEHAVEN AB39 2BZ SCOTLAND,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/922405859,2026-04-27
JOHN L JACK DESIGN SERVICES LIMITED,922700109,,,12 Farburn Drive,,STONEHAVEN AB39 2BZ SCOTLAND,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/922700109,2026-04-27
KONSTRUKTIONSSVETS L K AB,879948762,,,Hjälmarevägen 22,,444 22 STENUNGSUND,https://www.k-svets.se,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/879948762,2026-04-27
KONSTRUKTIONSSVETS L K AB,979948727,,,Hjälmarevägen 22,,SE-444 22 STENUNGSUND,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/979948727,2026-04-27
KUW ULF WOLLINGER,979370261,,,Villagatan 41,,39351 Kalmar,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/979370261,2026-04-27
L & B BAU LTD,919168358,,,Karl-Bartelmann-Strasse 10,,DE-04564 BÖHLEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/919168358,2026-04-27
L & B BAU LTD,919177314,,,Karl-Bartelmann-Strasse 10,,DE-04564 BÖHLEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/919177314,2026-04-27
L & L INSPECTIONS LTD,921979258,,,28 High Street,,NAIRN HIGHLAND IV12 4AU,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/921979258,2026-04-27
L & L INSPECTIONS LTD,921977840,,,28 High Street,,NAIRN HIGHLAND IV12 4AU,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/921977840,2026-04-27
L & L SERVICES LTD,919216441,,,"8 Caraway Drive, Bradwell",,Great Yarmouth NR31 8TS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/919216441,2026-04-27
L & L SERVICES LTD,919225254,,,"8 Caraway Drive, Bradwell",,Great Yarmouth NR31 8TS,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/919225254,2026-04-27
L HINDSON LTD,922816328,,,49 Beamont Manor Chase Farm Drive,,NE24 4LP BLYTH NORTHUMBERLAND,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/922816328,2026-04-27
L HINDSON LTD,922952191,,,49 Beamont Manor Chase Farm Drive,,NE24 4LP BLYTH NORTHUMBERLAND,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/922952191,2026-04-27
L HULTMAN CONSULTING,935122910,,,Drottninggatan 122,,SE-252 22 HELSINGBORG,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/935122910,2026-04-27
L HULTMAN CONSULTING AB,935339294,,,Drottninggatan 122,,SE-252 22 HELSINGBORG,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/935339294,2026-04-27
L LINDEBY BUSINESS DEVELOPMENT AB,995539950,,,Gangåsvägen 3,,393 55 Kalmar,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/995539950,2026-04-27
L LINDEBY BUSINESS DEVELOPMENT AB,995593378,,,Gangåsvägen 3,,393 55 Kalmar,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/995593378,2026-04-27
L M TRANSPORT ANS APS,983208517,,,Håndværkervej 9,,8643 ANS BY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/983208517,2026-04-27
L M TRANSPORT ANS APS,983194990,,,Håndværkervej 9,,8643 ANS BY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/983194990,2026-04-27
L M V KONTAKTLEDNING AKTIEBOLAG,835161102,,,Krickvägen 14,,SE-803 09 GÄVLE,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/835161102,2026-04-27
L M V KONTAKTLEDNING AKTIEBOLAG NUF,935068835,,,Krickvägen 14,,SE-803 09 GÄVLE,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/935068835,2026-04-27
L N FÄRG OCH TAPETBUTIK AB,922755868,,,Box 7242,,SE-18713 TÄBY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/922755868,2026-04-27
L N FÄRG OCH TAPETBUTIK AB,922893381,,,Box 7242,,SE-18713 TÄBY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/922893381,2026-04-27
L O A B AKTIEBOLAG,883924622,,,Gransnåret 17,,SE-711 95 Gusselby,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/883924622,2026-04-27
L O A B NORGE NORSK AVDELING AV UTENLANDSK FORETAK NUF,983924735,,,Åldermansgatan 1B,,SE-702 17 Örebro,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/983924735,2026-04-27
L PÜTTMANN GMBH & CO KG,986326057,,,Greifswalder Strasse 5,,33106 PADERBORN,https://www.puttmann.com,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/986326057,2026-04-27
L PÜTTMANN GMBH & CO KG,986298037,,,Greifswalder Strasse 5,,DE-33106 PADERBORN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/986298037,2026-04-27
"L&B SCHIFFAHRTS-GESELLSCHAFT ""HANSA AFRICA"" MBH & CO KG",937335059,,,Neumühlen 13,,22763 Hamburg,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/937335059,2026-04-27
L&T TECHNOLOGY SERVICES LIMITED,912069710,,,"L&T House, N.M.MARG, Ballard estate",,400001 MUMBAI,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/912069710,2026-04-27
L-ACOUSTICS,933216403,,,"13 Rue Levacher Cintrat Parc de la, Fontaine de Jouvence",,FR-91462 MARCOUSSIS CEDEX,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933216403,2026-04-27
L-ACOUSTICS NUF,932722984,,,"13 Rue Levacher Cintrat Parc de la, Fontaine de Jouvence",,FR-91462 MARCOUSSIS CEDEX,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/932722984,2026-04-27
L-E OLSSON EL AB,888233822,,,Östervik 187,,691 94 Karlskoga,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/888233822,2026-04-27
L-G PERSSON KONSULT AB,980110575,,,Edelsbergv 17 A nb,,S-821 22 Bollnäs,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/980110575,2026-04-27
L-T LARSSON BYGG & SKOGKONSULT,980398765,,,Tjøstad 7205,,452 94 Strømstad,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/980398765,2026-04-27
L. VOS HANDELSONDERNEMING B.V.,935754879,,,Beukbergenhof 5,,3712 EJ HUIS TER HEIDE,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/935754879,2026-04-27
L. VOS HANDELSONDERNEMING B.V.,935876389,,,Beukenbergenhof 5,,3712EJ HUIS TER HEIDE,https://www.lvosgereedschappen.nl,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/935876389,2026-04-27
L. W:S ÅKERI AKTIEBOLAG,913868900,,,Motalavägen 16,,SE-852 65 SUNDSVALL,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/913868900,2026-04-27
L. W:S ÅKERI AKTIEBOLAG,913868943,,,Motalavägen 16,,SE-852 65 SUNDSVALL,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/913868943,2026-04-27
LEIF HÖEGH (U.K.) LIMITED,818909462,,,150 Minories (4th floor),,LONDON EC3N 1LS ENGLAND,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/818909462,2026-04-27
LODAHL (U.K.) LTD,977309662,,,2A Rose street,,AB 10 1UA Aberdeen,https://www.lodahl.uk,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/977309662,2026-04-27
